"feedX [cm]","feedY [cm]","patchX [cm]","patchY [cm]","Freq [GHz]","dB(St(coax_pin_T1,coax_pin_T1)) []"
0.5,-0.3,1.9,1.6,5.88073394495413,-6.42632132135667
0.5,-0.3,1.9,1.6,5.88990825688073,-6.19828675086342
0.5,-0.3,1.9,1.6,5.89908256880734,-5.98259522243106
0.5,-0.3,1.9,1.6,5.90825688073395,-5.77842462341871
0.5,-0.3,1.9,1.6,5.91743119266055,-5.58501683931549
0.5,-0.3,1.9,1.6,5.92660550458716,-5.40167222994381
0.5,-0.3,1.9,1.6,5.93577981651376,-5.2277445807903
0.5,-0.3,1.9,1.6,5.94495412844037,-5.06263650676452
0.5,-0.3,1.9,1.6,5.95412844036697,-4.90579527763741
0.5,-0.3,1.9,1.6,5.96330275229358,-4.75670903113736
0.5,-0.3,1.9,1.6,5.97247706422018,-4.61490333929054
0.5,-0.3,1.9,1.6,5.98165137614679,-4.47993809480331
0.5,-0.3,1.9,1.6,5.99082568807339,-4.35140468638665
0.5,-0.3,1.9,1.6,6,-4.22892343439605
